condition,dataset,run,epoch
context_unaware,0,0,69
context_unaware,0,1,63
context_unaware,0,2,60
context_unaware,0,3,62
context_unaware,0,4,52
context_unaware,1,0,56
context_unaware,1,1,62
context_unaware,1,2,69
context_unaware,1,3,63
context_unaware,1,4,74
context_unaware,2,0,49
context_unaware,2,1,73
context_unaware,2,2,61
context_unaware,2,3,61
context_unaware,2,4,77
context_unaware,3,0,49
context_unaware,3,1,44
context_unaware,3,2,58
context_unaware,3,3,76
context_unaware,3,4,49
context_unaware,4,0,37
context_unaware,4,1,51
context_unaware,4,2,65
context_unaware,4,3,26
context_unaware,4,4,41
context_unaware,5,0,34
context_unaware,5,1,29
context_unaware,5,2,38
context_unaware,5,3,33
context_unaware,5,4,18
context_aware,0,0,37
context_aware,0,1,48
context_aware,0,2,49
context_aware,0,3,38
context_aware,0,4,41
context_aware,1,0,47
context_aware,1,1,46
context_aware,1,2,75
context_aware,1,3,52
context_aware,1,4,58
context_aware,2,0,46
context_aware,2,1,41
context_aware,2,2,169
context_aware,2,3,65
context_aware,2,4,44
context_aware,3,0,36
context_aware,3,1,53
context_aware,3,2,35
context_aware,3,3,56
context_aware,3,4,49
context_aware,4,0,44
context_aware,4,1,45
context_aware,4,2,31
context_aware,4,3,56
context_aware,4,4,136
context_aware,5,0,30
context_aware,5,1,34
context_aware,5,2,48
context_aware,5,3,26
context_aware,5,4,51
