game_nr,message,targets,fixed indices,context condition,distractors,accuracy
264,"[4, 1, 1]",[1. 2. 1. 1.],[1. 0. 1. 1.],1,[1. 0. 0. 2.],0.9999999403953552
648,"[4, 1, 1]",[1. 0. 1. 1.],[1. 1. 1. 1.],0,[3. 1. 3. 0.],0.9999963641166687
1238,"[4, 1, 1]",[1. 1. 1. 3.],[1. 1. 1. 0.],0,[3. 2. 3. 3.],0.9999998211860657
2234,"[4, 1, 1]",[2. 3. 1. 0.],[0. 1. 1. 0.],0,[0. 1. 3. 2.],0.9998983144760132
3051,"[4, 1, 1]",[3. 3. 2. 1.],[0. 1. 1. 1.],1,[3. 0. 2. 0.],0.999990701675415
3676,"[4, 1, 1]",[1. 3. 0. 3.],[1. 1. 1. 1.],1,[3. 3. 2. 2.],0.9936110377311707
346,"[4, 1, 1, 1]",[0. 3. 1. 1.],[0. 1. 1. 0.],1,[3. 3. 0. 3.],0.9999998807907104
601,"[4, 1, 1, 1]",[1. 1. 1. 3.],[1. 1. 1. 0.],1,[2. 1. 2. 2.],1.0000001192092896
863,"[4, 1, 1, 1]",[1. 0. 1. 1.],[1. 0. 1. 1.],1,[3. 3. 3. 1.],0.96875
1519,"[4, 1, 1, 1]",[1. 3. 1. 3.],[1. 1. 1. 1.],1,[3. 3. 0. 0.],0.9773556590080261
2190,"[4, 1, 1, 1]",[1. 3. 1. 3.],[1. 1. 1. 1.],1,[0. 1. 2. 3.],0.9874997735023499
2433,"[4, 1, 1, 1]",[1. 3. 1. 3.],[1. 1. 1. 1.],2,[3. 3. 0. 3.],0.9999833106994629
2859,"[4, 1, 1, 1]",[1. 0. 1. 1.],[1. 0. 1. 1.],1,[3. 2. 3. 1.],0.9718747138977051
2980,"[4, 1, 1, 1]",[1. 3. 1. 2.],[1. 1. 1. 1.],2,[1. 2. 2. 2.],0.9999991655349731
3004,"[4, 1, 1, 1]",[1. 1. 1. 3.],[1. 1. 1. 1.],2,[2. 1. 2. 3.],1.0
