game_nr,target,fixed indices,context condition,distractor,message,accuracy
920,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 3. 0. 1.],"[3, 2, 2, 4, 4, 2, 4]",0.7687499523162842
921,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 2. 2. 3.],"[4, 2, 2, 4]",0.7841796875
922,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[2. 3. 3. 0.],"[2, 2, 4, 4, 2]",0.7728515863418579
923,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[2. 1. 1. 0.],"[2, 4, 2, 2, 4, 2]",0.7748046517372131
924,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[1. 3. 2. 0.],"[3, 2, 2, 4, 4, 2]",0.7748046517372131
925,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 2. 0. 3.],"[3, 4, 2, 2]",0.7841796875
926,[2. 2. 3. 3.],[1. 1. 1. 1.],0,[3. 0. 2. 1.],"[3, 2, 4, 2]",0.7841796875
927,[2. 2. 3. 3.],[1. 1. 1. 1.],2,[0. 1. 3. 3.],"[3, 2, 2, 4, 4, 2]",0.7748046517372131
928,[2. 2. 3. 3.],[1. 1. 1. 1.],1,[1. 2. 1. 0.],"[3, 2, 4, 2]",0.7841796875
929,[2. 2. 3. 3.],[1. 1. 1. 1.],3,[2. 0. 3. 3.],"[2, 2, 4, 4, 4]",0.7728515863418579
